send_id,campaign_id,campaign_name,customer_id,channel,message,sent_date,clicked,purchased
SEND000001,CMP04,Summer Essentials,C00725,ads,Simple essentials for warmer days.,2025-08-26,false,false
SEND000002,CMP05,Back to Routine,C00165,email,Get back into your everyday rhythm.,2025-08-27,false,false
SEND000003,CMP01,New Year Reset,C00278,email,Start fresh with practical favorites.,2025-02-02,true,false
SEND000004,CMP07,Early Holiday,C00907,email,A head start on thoughtful gifting.,2025-11-03,false,false
SEND000005,CMP03,Member Picks,C00148,email,Popular picks selected for you.,2025-06-11,false,false
SEND000006,CMP04,Summer Essentials,C00675,ads,Simple essentials for warmer days.,2025-08-28,false,false
SEND000007,CMP02,Spring Refresh,C00493,ads,Refresh your routine for spring.,2025-04-21,false,false
SEND000008,CMP04,Summer Essentials,C00849,ads,Simple essentials for warmer days.,2025-06-08,false,false
SEND000009,CMP04,Summer Essentials,C00309,ads,Simple essentials for warmer days.,2025-07-24,false,false
SEND000010,CMP04,Summer Essentials,C00017,ads,Simple essentials for warmer days.,2025-06-12,false,false
SEND000011,CMP02,Spring Refresh,C00701,ads,Refresh your routine for spring.,2025-03-03,false,false
SEND000012,CMP07,Early Holiday,C00955,email,A head start on thoughtful gifting.,2025-11-16,false,false
SEND000013,CMP08,Holiday Highlights,C00351,ads,Explore customer favorites this holiday.,2025-11-25,false,false
SEND000014,CMP05,Back to Routine,C00214,email,Get back into your everyday rhythm.,2025-09-27,true,false
SEND000015,CMP04,Summer Essentials,C00257,ads,Simple essentials for warmer days.,2025-07-16,false,true
SEND000016,CMP04,Summer Essentials,C00391,ads,Simple essentials for warmer days.,2025-08-13,false,false
SEND000017,CMP03,Member Picks,C00750,email,Popular picks selected for you.,2025-05-13,false,false
SEND000018,CMP02,Spring Refresh,C00374,ads,Refresh your routine for spring.,2025-03-20,false,false
SEND000019,CMP01,New Year Reset,C00476,email,Start fresh with practical favorites.,2025-01-10,true,false
SEND000020,CMP07,Early Holiday,C00015,email,A head start on thoughtful gifting.,2025-11-15,true,true
SEND000021,CMP05,Back to Routine,C00845,email,Get back into your everyday rhythm.,2025-08-20,false,false
SEND000022,CMP07,Early Holiday,C00927,email,A head start on thoughtful gifting.,2025-11-10,false,false
SEND000023,CMP08,Holiday Highlights,C00465,ads,Explore customer favorites this holiday.,2025-11-16,false,false
SEND000024,CMP08,Holiday Highlights,C00845,ads,Explore customer favorites this holiday.,2025-12-29,false,false
SEND000025,CMP06,Autumn Edit,C00817,ads,Discover this season's useful upgrades.,2025-10-03,false,false
SEND000026,CMP03,Member Picks,C00560,email,Popular picks selected for you.,2025-06-04,false,false
SEND000027,CMP05,Back to Routine,C00606,email,Get back into your everyday rhythm.,2025-09-23,false,false
SEND000028,CMP02,Spring Refresh,C00640,ads,Refresh your routine for spring.,2025-04-17,false,false
SEND000029,CMP05,Back to Routine,C00673,email,Get back into your everyday rhythm.,2025-08-20,false,false
SEND000030,CMP01,New Year Reset,C00007,email,Start fresh with practical favorites.,2025-01-17,false,false
SEND000031,CMP07,Early Holiday,C00898,email,A head start on thoughtful gifting.,2025-11-16,false,true
SEND000032,CMP08,Holiday Highlights,C00071,ads,Explore customer favorites this holiday.,2025-12-19,false,false
SEND000033,CMP05,Back to Routine,C00702,email,Get back into your everyday rhythm.,2025-08-25,true,false
SEND000034,CMP07,Early Holiday,C00234,email,A head start on thoughtful gifting.,2025-11-16,false,true
SEND000035,CMP01,New Year Reset,C00132,email,Start fresh with practical favorites.,2025-01-04,false,false
SEND000036,CMP01,New Year Reset,C00729,email,Start fresh with practical favorites.,2025-02-23,false,false
SEND000037,CMP04,Summer Essentials,C00690,ads,Simple essentials for warmer days.,2025-06-14,false,false
