review_id,customer_id,product_id,product_name,rating,review_text,review_date
R000001,C00059,P023,Calm Cream 23,3,Fine overall with a few small drawbacks.,2025-02-16
R000002,C00838,P007,Calm Cream 07,4,Good value and I use it often.,2025-01-01
R000003,C00314,P026,Pure Band 26,4,Easy to use and feels well made. Packaging was simple.,2025-03-13
R000004,C00670,P002,Pure Band 02,2,The quality felt inconsistent. The product looked slightly different online.,2025-06-08
R000005,C00589,P010,Pure Band 10,3,"Useful, but I am not sure I would buy it again.",2025-02-18
R000006,C00379,P028,Essential Bag 28,3,"Useful, but I am not sure I would buy it again. The product looked slightly different online.",2025-07-16
R000007,C00293,P022,Active Mat 22,3,"Useful, but I am not sure I would buy it again.",2025-05-31
R000008,C00608,P018,Pure Band 18,4,Good value and I use it often.,2025-01-04
R000009,C00409,P026,Pure Band 26,3,"Useful, but I am not sure I would buy it again.",2025-05-24
R000010,C00252,P009,Daily Lamp 09,4,Nice design and works reliably.,2025-10-30
R000011,C00302,P020,Essential Bag 20,3,Works as expected but could be improved.,2025-03-21
R000012,C00983,P012,Essential Bag 12,4,Good value and I use it often. Delivery took a little longer than expected.,2025-05-23
R000013,C00434,P004,Essential Bag 04,5,Nice design and works reliably.,2025-02-16
R000014,C00278,P024,Modern Serum 24,5,Very happy with the purchase.,2025-08-31
R000015,C00359,P001,Daily Lamp 01,4,Nice design and works reliably.,2025-10-13
R000016,C00257,P030,Active Mat 30,5,Nice design and works reliably.,2025-11-29
R000017,C00045,P019,Urban Bottle 19,3,Works as expected but could be improved.,2025-08-14
R000018,C00957,P015,Calm Cream 15,3,Pretty average for the price.,2025-02-27
R000019,C00056,P020,Essential Bag 20,3,Pretty average for the price.,2025-09-06
R000020,C00075,P021,Bright Organizer 21,4,Nice design and works reliably.,2025-09-01
R000021,C00314,P029,Bright Organizer 29,4,Very happy with the purchase. I bought it after seeing an ad.,2025-03-09
R000022,C00667,P016,Modern Serum 16,3,Works as expected but could be improved.,2025-09-05
R000023,C00069,P018,Pure Band 18,3,Pretty average for the price.,2025-09-02
R000024,C00222,P027,Urban Bottle 27,4,Good value and I use it often.,2025-07-16
R000025,C00801,P014,Active Mat 14,5,Very happy with the purchase.,2025-09-03
R000026,C00742,P011,Urban Bottle 11,4,Better than I expected overall.,2025-02-13
R000027,C00062,P007,Calm Cream 07,3,Pretty average for the price. A friend recommended it.,2025-03-19
R000028,C00341,P007,Calm Cream 07,3,Pretty average for the price.,2025-07-28
R000029,C00574,P021,Bright Organizer 21,5,Better than I expected overall.,2025-01-05
R000030,C00710,P009,Daily Lamp 09,5,Better than I expected overall.,2025-07-07
R000031,C00876,P003,Urban Bottle 03,4,Better than I expected overall.,2025-02-27
R000032,C00596,P011,Urban Bottle 11,3,Works as expected but could be improved.,2025-04-21
R000033,C00541,P005,Bright Organizer 05,3,"Useful, but I am not sure I would buy it again.",2025-06-28
R000034,C00314,P012,Essential Bag 12,4,Very happy with the purchase.,2025-03-12
R000035,C00413,P013,Bright Organizer 13,5,Better than I expected overall.,2025-04-20
R000036,C00990,P009,Daily Lamp 09,3,"Useful, but I am not sure I would buy it again.",2025-07-30
R000037,C00598,P007,Calm Cream 07,5,Nice design and works reliably.,2025-06-06
R000038,C00710,P017,Daily Lamp 17,3,Pretty average for the price.,2025-08-31
R000039,C00800,P006,Active Mat 06,5,Very happy with the purchase. The product looked slightly different online.,2025-12-10
R000040,C00498,P004,Essential Bag 04,2,Not a great fit for what I needed.,2025-07-07
R000041,C00407,P023,Calm Cream 23,5,Better than I expected overall.,2025-03-15
R000042,C00408,P024,Modern Serum 24,2,I expected more for the price.,2025-04-21
R000043,C00912,P021,Bright Organizer 21,2,I expected more for the price.,2025-09-26
R000044,C00502,P025,Daily Lamp 25,4,Easy to use and feels well made.,2025-10-09
R000045,C00211,P022,Active Mat 22,4,Easy to use and feels well made.,2025-08-11
R000046,C00179,P002,Pure Band 02,2,Did not quite meet my expectations. Delivery took a little longer than expected.,2025-11-23
R000047,C00877,P027,Urban Bottle 27,3,"It does the job, though nothing stood out. Shipping was quick.",2025-11-13
R000048,C00816,P024,Modern Serum 24,4,Better than I expected overall. A friend recommended it.,2025-05-23
R000049,C00139,P009,Daily Lamp 09,4,Easy to use and feels well made.,2025-06-02
R000050,C00234,P014,Active Mat 14,3,"Useful, but I am not sure I would buy it again.",2025-03-08
R000051,C00310,P005,Bright Organizer 05,4,Very happy with the purchase.,2025-06-05
R000052,C00703,P020,Essential Bag 20,4,Better than I expected overall.,2025-01-11
R000053,C00064,P017,Daily Lamp 17,4,Nice design and works reliably.,2025-04-14
R000054,C00177,P021,Bright Organizer 21,3,Pretty average for the price.,2025-05-27
R000055,C00924,P010,Pure Band 10,4,Good value and I use it often. Shipping was quick.,2025-06-22
