transaction_id,customer_id,product_id,product_name,quantity,unit_price,transaction_total,date
T000001,C00996,P006,Active Mat 06,1,20.63,20.63,2025-03-27
T000002,C00446,P006,Active Mat 06,2,21.6,43.2,2025-12-16
T000003,C00933,P023,Calm Cream 23,2,45.45,90.9,2025-06-13
T000004,C00334,P026,Pure Band 26,1,86.24,86.24,2025-10-10
T000005,C00639,P018,Pure Band 18,2,77.08,154.16,2025-12-25
T000006,C00603,P018,Pure Band 18,3,76.21,228.63,2025-10-18
T000007,C00805,P009,Daily Lamp 09,1,21.79,21.79,2025-02-21
T000008,C00671,P015,Calm Cream 15,1,31.18,31.18,2025-07-16
T000009,C00634,P019,Urban Bottle 19,1,30.43,30.43,2025-03-15
T000010,C00708,P007,Calm Cream 07,2,53.86,107.72,2025-06-19
T000011,C00346,P025,Daily Lamp 25,1,92.53,92.53,2025-01-11
T000012,C00702,P003,Urban Bottle 03,2,42.44,84.88,2025-12-23
T000013,C00793,P026,Pure Band 26,1,97.63,97.63,2025-08-15
T000014,C00453,P006,Active Mat 06,2,20.12,40.24,2025-04-07
T000015,C00841,P002,Pure Band 02,2,28.06,56.12,2025-07-11
T000016,C00139,P024,Modern Serum 24,1,68.74,68.74,2025-07-26
T000017,C00858,P002,Pure Band 02,1,27.56,27.56,2025-04-13
T000018,C00281,P011,Urban Bottle 11,1,38.33,38.33,2025-04-12
T000019,C00032,P007,Calm Cream 07,1,61.56,61.56,2025-12-15
T000020,C00601,P017,Daily Lamp 17,1,37.76,37.76,2025-08-31
T000021,C00093,P009,Daily Lamp 09,1,22.4,22.4,2025-12-19
T000022,C00878,P007,Calm Cream 07,1,59.16,59.16,2025-04-20
T000023,C00021,P027,Urban Bottle 27,3,56.02,168.06,2025-09-20
T000024,C00663,P005,Bright Organizer 05,2,83.71,167.42,2025-03-09
T000025,C00730,P029,Bright Organizer 29,1,89.28,89.28,2025-06-06
T000026,C00471,P007,Calm Cream 07,1,56.74,56.74,2025-06-28
T000027,C00599,P003,Urban Bottle 03,1,41.36,41.36,2025-07-23
T000028,C00575,P020,Essential Bag 20,1,54.59,54.59,2025-07-11
T000029,C00345,P030,Active Mat 30,1,21.22,21.22,2025-02-02
T000030,C00976,P027,Urban Bottle 27,1,60.33,60.33,2025-12-31
T000031,C00825,P026,Pure Band 26,2,96.37,192.74,2025-01-30
T000032,C00739,P001,Daily Lamp 01,1,97.76,97.76,2025-03-13
T000033,C00398,P023,Calm Cream 23,1,39.25,39.25,2025-07-27
T000034,C00744,P022,Active Mat 22,1,85.11,85.11,2025-06-25
T000035,C00368,P016,Modern Serum 16,2,37.82,75.64,2025-12-10
T000036,C00301,P003,Urban Bottle 03,1,41.1,41.1,2025-04-03
T000037,C00970,P021,Bright Organizer 21,1,33.72,33.72,2025-04-04
T000038,C00431,P024,Modern Serum 24,1,68.67,68.67,2025-06-07
T000039,C00482,P002,Pure Band 02,1,27.98,27.98,2025-03-02
T000040,C00911,P006,Active Mat 06,1,20.15,20.15,2025-08-30
T000041,C00056,P027,Urban Bottle 27,1,49.49,49.49,2025-07-31
T000042,C00915,P028,Essential Bag 28,1,83.41,83.41,2025-10-19
T000043,C00500,P010,Pure Band 10,4,78.85,315.4,2025-02-11
T000044,C00281,P006,Active Mat 06,2,20.87,41.74,2025-08-20
T000045,C00133,P019,Urban Bottle 19,1,30.64,30.64,2025-02-15
T000046,C00005,P002,Pure Band 02,1,27.3,27.3,2025-07-16
T000047,C00776,P026,Pure Band 26,1,91.9,91.9,2025-06-14
T000048,C00232,P022,Active Mat 22,1,84.55,84.55,2025-05-08
T000049,C00314,P005,Bright Organizer 05,2,83.77,167.54,2025-10-29
T000050,C00611,P016,Modern Serum 16,1,38.25,38.25,2025-09-24
T000051,C00368,P023,Calm Cream 23,1,41.82,41.82,2025-09-08
T000052,C00234,P007,Calm Cream 07,4,58.41,233.64,2025-01-10
T000053,C00174,P004,Essential Bag 04,2,18.32,36.64,2025-09-16
T000054,C00262,P024,Modern Serum 24,1,69.94,69.94,2025-11-24
T000055,C00670,P026,Pure Band 26,1,96.47,96.47,2025-02-25
T000056,C00561,P007,Calm Cream 07,2,59.51,119.02,2025-03-05
T000057,C00309,P013,Bright Organizer 13,1,27.31,27.31,2025-01-05
T000058,C00141,P013,Bright Organizer 13,2,27.67,55.34,2025-12-25
T000059,C00117,P024,Modern Serum 24,1,69.96,69.96,2025-05-25
T000060,C00997,P006,Active Mat 06,2,20.87,41.74,2025-09-25
T000061,C00933,P006,Active Mat 06,3,20.81,62.43,2025-09-12
T000062,C00092,P028,Essential Bag 28,2,82.43,164.86,2025-12-10
T000063,C00799,P016,Modern Serum 16,2,40.14,80.28,2025-02-16
T000064,C00468,P030,Active Mat 30,1,23.2,23.2,2025-04-29
T000065,C00896,P002,Pure Band 02,1,26.16,26.16,2025-03-31
T000066,C00098,P026,Pure Band 26,2,95.23,190.46,2025-03-01
T000067,C00175,P010,Pure Band 10,2,69.03,138.06,2025-11-28
T000068,C00382,P025,Daily Lamp 25,1,93.75,93.75,2025-02-17
T000069,C00856,P012,Essential Bag 12,2,15.97,31.94,2025-05-20
T000070,C00116,P004,Essential Bag 04,2,16.49,32.98,2025-03-27
T000071,C00427,P028,Essential Bag 28,1,81.59,81.59,2025-02-23
T000072,C00389,P024,Modern Serum 24,1,65.1,65.1,2025-11-09
T000073,C00495,P028,Essential Bag 28,1,80.16,80.16,2025-03-08
T000074,C00671,P010,Pure Band 10,2,76.44,152.88,2025-05-14
T000075,C00742,P017,Daily Lamp 17,3,42.31,126.93,2025-10-23
T000076,C00705,P022,Active Mat 22,1,85.42,85.42,2025-09-25
T000077,C00680,P021,Bright Organizer 21,1,30.64,30.64,2025-06-27
T000078,C00056,P001,Daily Lamp 01,3,98.59,295.77,2025-11-10
T000079,C00891,P005,Bright Organizer 05,2,83.58,167.16,2025-09-11
T000080,C00052,P016,Modern Serum 16,1,40.76,40.76,2025-05-23
T000081,C00471,P014,Active Mat 14,1,40.85,40.85,2025-02-10
T000082,C00122,P030,Active Mat 30,2,23.52,47.04,2025-06-11
T000083,C00571,P017,Daily Lamp 17,2,40.97,81.94,2025-01-19
T000084,C00312,P027,Urban Bottle 27,1,59.78,59.78,2025-11-23
T000085,C00373,P026,Pure Band 26,2,86.13,172.26,2025-06-24
T000086,C00615,P015,Calm Cream 15,1,30.15,30.15,2025-11-14
T000087,C00228,P001,Daily Lamp 01,1,99.8,99.8,2025-12-04
T000088,C00535,P012,Essential Bag 12,1,15.29,15.29,2025-10-08
T000089,C00110,P008,Modern Serum 08,1,28.52,28.52,2025-07-29
T000090,C00469,P026,Pure Band 26,1,97.12,97.12,2025-04-21
T000091,C00949,P020,Essential Bag 20,1,56.68,56.68,2025-01-24
T000092,C00675,P018,Pure Band 18,1,64.12,64.12,2025-08-23
T000093,C00567,P028,Essential Bag 28,2,82.18,164.36,2025-01-25
T000094,C00709,P018,Pure Band 18,2,75.89,151.78,2025-04-01
T000095,C00621,P027,Urban Bottle 27,1,61.05,61.05,2025-11-04
T000096,C00781,P007,Calm Cream 07,1,59.91,59.91,2025-12-21
T000097,C00142,P013,Bright Organizer 13,2,25.37,50.74,2025-03-10
T000098,C00561,P026,Pure Band 26,2,89.31,178.62,2025-12-26
T000099,C00215,P019,Urban Bottle 19,1,30.08,30.08,2025-04-13
T000100,C00666,P030,Active Mat 30,1,24.34,24.34,2025-12-30
T000101,C00119,P024,Modern Serum 24,1,72.27,72.27,2025-12-30
T000102,C00428,P021,Bright Organizer 21,2,35.29,70.58,2025-12-30
T000103,C00828,P001,Daily Lamp 01,1,94.91,94.91,2025-08-05
T000104,C00205,P008,Modern Serum 08,2,24.15,48.3,2025-01-29
T000105,C00860,P002,Pure Band 02,2,27.83,55.66,2025-03-16
T000106,C00834,P014,Active Mat 14,1,38.72,38.72,2025-07-03
T000107,C00761,P020,Essential Bag 20,1,55.86,55.86,2025-04-25
T000108,C00295,P022,Active Mat 22,1,87.0,87.0,2025-12-23
T000109,C00321,P029,Bright Organizer 29,1,86.51,86.51,2025-12-17
T000110,C00850,P007,Calm Cream 07,1,56.11,56.11,2025-08-15
T000111,C00560,P023,Calm Cream 23,1,43.25,43.25,2025-10-29
T000112,C00182,P030,Active Mat 30,1,20.44,20.44,2025-08-18
T000113,C00387,P002,Pure Band 02,1,27.46,27.46,2025-03-03
T000114,C00006,P010,Pure Band 10,2,78.5,157.0,2025-05-11
T000115,C00612,P002,Pure Band 02,3,27.92,83.76,2025-06-15
T000116,C00809,P018,Pure Band 18,1,72.75,72.75,2025-09-09
T000117,C00980,P006,Active Mat 06,1,20.87,20.87,2025-04-23
T000118,C00414,P003,Urban Bottle 03,1,40.92,40.92,2025-10-02
T000119,C00301,P007,Calm Cream 07,2,60.18,120.36,2025-07-04
T000120,C00010,P004,Essential Bag 04,1,19.77,19.77,2025-11-29
T000121,C00250,P029,Bright Organizer 29,1,93.87,93.87,2025-11-15
T000122,C00396,P008,Modern Serum 08,2,28.1,56.2,2025-02-28
T000123,C00527,P025,Daily Lamp 25,1,93.28,93.28,2025-07-11
T000124,C00329,P016,Modern Serum 16,3,41.02,123.06,2025-04-09
T000125,C00547,P001,Daily Lamp 01,1,93.54,93.54,2025-10-03
T000126,C00435,P026,Pure Band 26,1,95.28,95.28,2025-12-17
T000127,C00663,P025,Daily Lamp 25,1,85.96,85.96,2025-08-11
T000128,C00039,P003,Urban Bottle 03,1,38.68,38.68,2025-06-19
T000129,C00842,P007,Calm Cream 07,1,60.13,60.13,2025-10-22
