visit_id,customer_id,visit_date,traffic_source,product_id,product_viewed,added_to_cart,purchased
V000001,C00950,2025-08-30,email,P029,Bright Organizer 29,false,false
V000002,C00916,2025-02-10,paid_search,P020,Essential Bag 20,false,false
V000003,C00173,2025-07-27,organic_search,P020,Essential Bag 20,true,true
V000004,C00861,2025-05-03,paid_search,P014,Active Mat 14,false,false
V000005,C00924,2025-10-22,social,P017,Daily Lamp 17,false,false
V000006,C00258,2025-10-27,email,P028,Essential Bag 28,false,false
V000007,C00361,2025-12-20,social,P026,Pure Band 26,false,false
V000008,C00498,2025-11-02,organic_search,P028,Essential Bag 28,false,true
V000009,C00187,2025-12-04,social,P016,Modern Serum 16,false,false
V000010,C00624,2025-03-26,paid_search,P027,Urban Bottle 27,false,false
V000011,C00462,2025-06-02,organic_search,P020,Essential Bag 20,false,false
V000012,C00307,2025-09-21,organic_search,P016,Modern Serum 16,false,false
V000013,C00850,2025-06-22,social,P025,Daily Lamp 25,false,false
V000014,C00197,2025-04-17,paid_search,P012,Essential Bag 12,false,false
V000015,C00466,2025-03-26,organic_search,P007,Calm Cream 07,false,true
V000016,C00283,2025-01-01,organic_search,P010,Pure Band 10,false,false
V000017,C00987,2025-11-12,organic_search,P025,Daily Lamp 25,false,false
V000018,C00241,2025-06-30,organic_search,P002,Pure Band 02,true,false
V000019,C00986,2025-02-09,organic_search,P026,Pure Band 26,false,false
V000020,C00282,2025-12-21,organic_search,P017,Daily Lamp 17,true,false
V000021,C00091,2025-04-25,paid_search,P004,Essential Bag 04,false,false
V000022,C00018,2025-10-08,paid_search,P026,Pure Band 26,false,false
V000023,C00746,2025-11-04,direct,P012,Essential Bag 12,false,false
V000024,C00193,2025-02-21,social,P023,Calm Cream 23,true,true
V000025,C00977,2025-09-07,direct,P023,Calm Cream 23,false,false
V000026,C00874,2025-09-11,paid_search,P016,Modern Serum 16,false,false
V000027,C00708,2025-11-23,direct,P028,Essential Bag 28,false,false
V000028,C00306,2025-04-02,social,P002,Pure Band 02,false,true
V000029,C00387,2025-03-04,social,P002,Pure Band 02,false,false
V000030,C00142,2025-03-14,organic_search,P027,Urban Bottle 27,false,false
V000031,C00213,2025-12-15,social,P009,Daily Lamp 09,true,false
V000032,C00098,2025-03-14,organic_search,P018,Pure Band 18,true,false
V000033,C00912,2025-02-19,email,P009,Daily Lamp 09,false,false
V000034,C00378,2025-05-01,paid_search,P005,Bright Organizer 05,false,false
V000035,C00223,2025-02-24,paid_search,P016,Modern Serum 16,true,false
V000036,C00780,2025-05-16,paid_search,P002,Pure Band 02,false,false
V000037,C00465,2025-03-21,social,P029,Bright Organizer 29,false,false
V000038,C00754,2025-03-30,social,P011,Urban Bottle 11,true,false
V000039,C00467,2025-11-04,organic_search,P030,Active Mat 30,false,false
V000040,C00982,2025-11-05,social,P005,Bright Organizer 05,false,false
V000041,C00528,2025-07-21,organic_search,P008,Modern Serum 08,false,false
V000042,C00541,2025-06-18,organic_search,P018,Pure Band 18,true,false
V000043,C00426,2025-05-19,email,P006,Active Mat 06,true,false
V000044,C00749,2025-05-15,direct,P007,Calm Cream 07,false,false
V000045,C00642,2025-09-16,organic_search,P020,Essential Bag 20,false,false
V000046,C00287,2025-10-01,paid_search,P022,Active Mat 22,true,true
V000047,C00514,2025-05-03,organic_search,P023,Calm Cream 23,true,false
V000048,C00174,2025-09-27,paid_search,P021,Bright Organizer 21,false,false
V000049,C00988,2025-07-19,direct,P004,Essential Bag 04,true,true
V000050,C00914,2025-10-14,direct,P023,Calm Cream 23,false,false
V000051,C00548,2025-07-21,direct,P018,Pure Band 18,false,false
V000052,C00183,2025-04-10,paid_search,P005,Bright Organizer 05,false,false
V000053,C00121,2025-08-13,paid_search,P010,Pure Band 10,false,false
V000054,C00992,2025-05-13,direct,P012,Essential Bag 12,false,false
V000055,C00105,2025-10-20,direct,P009,Daily Lamp 09,false,false
V000056,C00790,2025-07-02,social,P008,Modern Serum 08,false,false
V000057,C00848,2025-02-07,email,P004,Essential Bag 04,false,false
